text,label
I want to cancel my subscription,cancellation
How do I get a refund?,refund
What are the terms and conditions?,policy
Cancel and get money back,cancellation
Can I receive a refund after cancellation?,refund
Give me the contract terms,policy
Im not happy cancel my plan, cancellation
Refund request for last months fee,refund
Explain the service agreement,policy
I want to cancel my subscription,cancellation
How do I get a refund?,refund
What are the terms and conditions?,policy
Cancel my plan,cancellation
Refund my payment,refund
Terms of use,policy
I need to cancel this,cancellation
Cancel and get money back,cancellation
Refund request for late payment,refund
Give me the contract terms,policy
